trigram,frequency
поколениям нашей истории,1
старшим поколениям нашей,1
великой отечественной войне,1
детям ложь зараза,1
иначе скажем нашим,1
конфликты могут стремительно,1
дни региональные конфликты,1
последние дни региональные,1
недели последние дни,1
последние недели последние,1
буквально последние недели,1
африке буквально последние,1
северной африке буквально,1
востоке северной африке,1
ближнем востоке северной,1
происходит ближнем востоке,1
мире происходит ближнем,1
события мире происходит,1
развиваются события мире,1
неуправляемо развиваются события,1
непредсказуемо неуправляемо развиваются,1
видим непредсказуемо неуправляемо,1
коллеги видим непредсказуемо,1
региональные конфликты могут,1
могут стремительно перерастать,1
поколениями уважаемые коллеги,1
стремительно перерастать угрозы,1
которыми сталкивается человечество,1
проблемах которыми сталкивается,1
острейших проблемах которыми,1
тех острейших проблемах,1
миропорядка тех острейших,1
стабильного миропорядка тех,1
принципах стабильного миропорядка,1
основных принципах стабильного,1
разговор основных принципах,1
прямой разговор основных,1
серьезный прямой разговор,1
убежден серьезный прямой,1
сообщества убежден серьезный,1
международного сообщества убежден,1
всего международного сообщества,1
угрозы всего международного,1
перерастать угрозы всего,1
уважаемые коллеги видим,1
будущими поколениями уважаемые,1
скажем нашим детям,1
самый полный комплекс,1
создан крупнейший самый,1
россии создан крупнейший,1
факты россии создан,1
противопоставить факты россии,1
должны противопоставить факты,1
историю должны противопоставить,1
переиначить историю должны,1
попыткам переиначить историю,1
вранью попыткам переиначить,1
наглому вранью попыткам,1
миру наглому вранью,1
всему миру наглому,1
расползаться всему миру,1
зараза расползаться всему,1
ложь зараза расползаться,1
развития очень важно,1
нашим детям ложь,1
крупнейший самый полный,1
полный комплекс архивных,1
ответственность будущими поколениями,1
комплекс архивных документов,1
страныпобедительницы ответственность будущими,1
долг страныпобедительницы ответственность,1
наш долг страныпобедительницы,1
работа наш долг,1
такая работа наш,1
мира такая работа,1
всего мира такая,1
граждан всего мира,1
наших граждан всего,1
доступных наших граждан,1
войне доступных наших,1
мировой войне доступных,1
второй мировой войне,1
фотоматериалов второй мировой,1
кино фотоматериалов второй,1
документов кино фотоматериалов,1
архивных документов кино,1
очень важно действительно,1
объединений некоммерческих организаций,1
национального развития очень,1
образом основе программных,1
мире охват цифровым,1
современных мире охват,1
самых современных мире,1
одну самых современных,1
параметрам одну самых,1
техническим параметрам одну,1
своим техническим параметрам,1
телевидения своим техническим,1
цифрового телевидения своим,1
примера цифрового телевидения,1
инфраструктуру примера цифрового,1
крупнейшую инфраструктуру примера,1
создали крупнейшую инфраструктуру,1
производства создали крупнейшую,1
отечественного производства создали,1
продуктов отечественного производства,1
программных продуктов отечественного,1
охват цифровым телевидением,1
цифровым телевидением россии,1
телевидением россии выше,1
необходимостью людей стал,1
немногих стран мире,1
одна немногих стран,1
россия одна немногих,1
причем россия одна,1
интернет причем россия,1
стал интернет причем,1
людей стал интернет,1
жизненной необходимостью людей,1
россии выше чем,1
повседневной жизненной необходимостью,1
швейцарии повседневной жизненной,1
австрии швейцарии повседневной,1
франции австрии швейцарии,1
например франции австрии,1
чем например франции,1
выше чем например,1
основе программных продуктов,1
главным образом основе,1
задач национального развития,1
осуществлялись главным образом,1
экспорт и безусловно,1
высокотехнологичный экспорт и,1
поддерживать высокотехнологичный экспорт,1
компаниями поддерживать высокотехнологичный,1
инновационными компаниями поддерживать,1
успешными инновационными компаниями,1
сильными успешными инновационными,1
стать сильными успешными,1
могли стать сильными,1
команд могли стать,1
новаторских команд могли,1
стартапов новаторских команд,1
условия стартапов новаторских,1
финансовые условия стартапов,1
правовые финансовые условия,1
такие правовые финансовые,1
создать такие правовые,1
и безусловно расширять,1
безусловно расширять спрос,1
расширять спрос инновации,1
цифровую трансформацию реального,1
проекты осуществлялись главным,1
национальные проекты осуществлялись,1
требование национальные проекты,1
установить требование национальные,1
экономики установить требование,1
сектора экономики установить,1
трансформацию реального сектора,1
ускорить цифровую трансформацию,1
спрос инновации внутри,1
правильным ускорить цифровую,1
считаю правильным ускорить,1
связи считаю правильным,1
страны связи считаю,1
самой страны связи,1
внутри самой страны,1
инновации внутри самой,1
стран мире свои,1
мире свои социальные,1
свои социальные сети,1
социальные сети мессенджеры,1
это новые возможности,1
конечно это новые,1
проектов конечно это,1
культурных проектов конечно,1
социальных культурных проектов,1
реализации социальных культурных,1
общения реализации социальных,1
творчества общения реализации,1
образования творчества общения,1
пространство образования творчества,1
широкое пространство образования,1
создать широкое пространство,1
граждан создать широкое,1
наших граждан создать,1
россии наших граждан,1
преимуществом россии наших,1
конкурентным преимуществом россии,1
новые возможности участия,1
возможности участия людей,1
участия людей жизни,1
человечество безусловно назрел,1
решение задач национального,1
вклад решение задач,1
свой вклад решение,1
внести свой вклад,1
стремление внести свой,1
организаций стремление внести,1
некоммерческих организаций стремление,1
общественных объединений некоммерческих,1
людей жизни страны,1
граждан общественных объединений,1
инициатива граждан общественных,1
созидательная инициатива граждан,1
каждая созидательная инициатива,1
значима каждая созидательная,1
страны значима каждая,1
жизни страны значима,1
стать конкурентным преимуществом,1
должна стать конкурентным,1
интернета должна стать,1
связи предлагаю подготовить,1
территории страны обеспечить,1
интернет всей территории,1
доступный интернет всей,1
проект доступный интернет,1
реализовать проект доступный,1
подготовить реализовать проект,1
предлагаю подготовить реализовать,1
ресурсы связи предлагаю,1
обеспечить бесплатный доступ,1
национальные ресурсы связи,1
другие национальные ресурсы,1
системы другие национальные,1
поисковые системы другие,1
почтовые поисковые системы,1
мессенджеры почтовые поисковые,1
сети мессенджеры почтовые,1
страны обеспечить бесплатный,1
бесплатный доступ социально,1
доступность интернета должна,1
платить саму услугу,1
высокая доступность интернета,1
коллеги высокая доступность,1
уважаемые коллеги высокая,1
интернеттрафик уважаемые коллеги,1
связи интернеттрафик уважаемые,1
услугу связи интернеттрафик,1
саму услугу связи,1
придется платить саму,1
доступ социально значимым,1
людям придется платить,1
случае людям придется,1
повторю случае людям,1
интернетсервисам повторю случае,1
отечественным интернетсервисам повторю,1
значимым отечественным интернетсервисам,1
социально значимым отечественным,1
сталкивается человечество безусловно,1
время требует осознания,1
безусловно назрел проявить,1
согласиться теми говорит,1
прессконференции разумеется согласиться,1
годовой прессконференции разумеется,1
последней годовой прессконференции,1
числе последней годовой,1
постоянно числе последней,1
задают постоянно числе,1
вопросы задают постоянно,1
федерации вопросы задают,1
российской федерации вопросы,1
конституция российской федерации,1
страны конституция российской,1
нашей страны конституция,1
закон нашей страны,1
основной закон нашей,1
определяет основной закон,1
которые определяет основной,1
политики которые определяет,1
разумеется согласиться теми,1
теми говорит конституция,1
противостояния столице очага,1
говорит конституция принята,1
богу вооруженного противостояния,1
слава богу вооруженного,1
изменилось слава богу,1
кардинально изменилось слава,1
пор кардинально изменилось,1
тех пор кардинально,1
дел тех пор,1
положение дел тех,1
кризиса положение дел,1
внутриполитического кризиса положение,1
тяжелого внутриполитического кризиса,1
условиях тяжелого внутриполитического,1
назад условиях тяжелого,1
века назад условиях,1
четверти века назад,1
принята четверти века,1
конституция принята четверти,1
внутренней политики которые,1
устройства внутренней политики,1
государственного устройства внутренней,1
вопросах государственного устройства,1
активном участии общества,1
возможно активном участии,1
коллеги возможно активном,1
уважаемые коллеги возможно,1
цели уважаемые коллеги,1
движение цели уважаемые,1
будущего движение цели,1
нашего будущего движение,1
основу нашего будущего,1
вижу основу нашего,1
людей вижу основу,1
благополучия людей вижу,1
державы благополучия людей,1
сильной державы благополучия,1
гармонии сильной державы,1
гражданина гармонии сильной,1
каждого гражданина гармонии,1
участии общества наших,1
общества наших граждан,1
наших граждан и,1
потенциал которых требует,1
остановиться вопросах государственного,1
хотел остановиться вопросах,1
связи хотел остановиться,1
развития связи хотел,1
дальнейшего развития связи,1
требует дальнейшего развития,1
которых требует дальнейшего,1
власти потенциал которых,1
граждан и конечно,1
уровней власти потенциал,1
ветвей уровней власти,1
работе ветвей уровней,1
результативной работе ветвей,1
напряженной результативной работе,1
конечно напряженной результативной,1
и конечно напряженной,1
вооруженного противостояния столице,1
столице очага международного,1
достойной жизни каждого,1
изменения конституции прозвучали,1
высказывания тему изменения,1
вместе высказывания тему,1
общества вместе высказывания,1
российского общества вместе,1
базой российского общества,1
ценностной базой российского,1
прочной ценностной базой,1
оставаться прочной ценностной,1
будут оставаться прочной,1
десятилетия будут оставаться,1
многие десятилетия будут,1
надеюсь многие десятилетия,1
человека надеюсь многие,1
свободы человека надеюсь,1
права свободы человека,1
строя права свободы,1
конституционного строя права,1
тему изменения конституции,1
конституции прозвучали полагаю,1
очага международного терроризма,1
прозвучали полагаю возможным,1
россии правового социального,1
развития россии правового,1
дальнейшего развития россии,1
важными дальнейшего развития,1
обоснованными важными дальнейшего,1
вполне обоснованными важными,1
считаю вполне обоснованными,1
которые считаю вполне,1
поправок которые считаю,1
конституционных поправок которые,1
ряд конституционных поправок,1
обсуждение ряд конституционных,1
вынести обсуждение ряд,1
позицию вынести обсуждение,1
обозначить позицию вынести,1
возможным обозначить позицию,1
полагаю возможным обозначить,1
основы конституционного строя,1
фундаментальные основы конституционного,1
исчерпан фундаментальные основы,1
далеко исчерпан фундаментальные,1
экономике социальной сфере,1
ситуация экономике социальной,1
менее ситуация экономике,1
стабилизировалась менее ситуация,1
сегодня стабилизировалась менее,1
говорили сегодня стабилизировалась,1
которых говорили сегодня,1
проблем которых говорили,1
острых проблем которых,1
достаточно острых проблем,1
нерешенных достаточно острых,1
ряд нерешенных достаточно,1
несмотря ряд нерешенных,1
кавказе несмотря ряд,1
северном кавказе несмотря,1
терроризма северном кавказе,1
международного терроризма северном,1
социальной сфере ряд,1
сфере ряд политических,1
ряд политических общественных,1
хочу ответить считаю,1
года далеко исчерпан,1
конституции года далеко,1
потенциал конституции года,1
нет потенциал конституции,1
необходимости нет потенциал,1
считаю необходимости нет,1
ответить считаю необходимости,1
сразу хочу ответить,1
политических общественных объединений,1
конституции сразу хочу,1
новой конституции сразу,1
принятии новой конституции,1
вопрос принятии новой,1
ставят вопрос принятии,1
объединений ставят вопрос,1
общественных объединений ставят,1
жизни каждого гражданина,1
неотделимо достойной жизни,1
назрел проявить политическую,1
отношений россия открыта,1
современных международных отношений,1
аспекты современных международных,1
военные аспекты современных,1
экономические военные аспекты,1
политические экономические военные,1
учитывали политические экономические,1
мере учитывали политические,1
полной мере учитывали,1
которые полной мере,1
планете которые полной,1
стабильности планете которые,1
обеспечению стабильности планете,1
подходы обеспечению стабильности,1
обновленные подходы обеспечению,1
выработать обновленные подходы,1
войны выработать обновленные,1
глобальной войны выработать,1
международных отношений россия,1
россия открыта укрепления,1
своевременно достаточном объеме,1
открыта укрепления сотрудничества,1
безопасности сделаны своевременно,1
национальной безопасности сделаны,1
укреплению национальной безопасности,1
шаги укреплению национальной,1
наши шаги укреплению,1
заверить наши шаги,1
могу заверить наши,1
волю могу заверить,1
навязывать волю могу,1
стремимся навязывать волю,1
угрожаем стремимся навязывать,1
никому угрожаем стремимся,1
партнерами никому угрожаем,1
заинтересованными партнерами никому,1
всеми заинтересованными партнерами,1
сотрудничества всеми заинтересованными,1
укрепления сотрудничества всеми,1
предпосылок глобальной войны,1
устранению предпосылок глобальной,1
мер устранению предпосылок,1
начать мер устранению,1
страны основательницы организации,1
должны страны основательницы,1
пример должны страны,1
подать пример должны,1
действий подать пример,1
реальных действий подать,1
ответственности реальных действий,1
общей ответственности реальных,1
нашей общей ответственности,1
осознания нашей общей,1
требует осознания нашей,1
словом нужно создать,1
мужество время требует,1
мудрость мужество время,1
волю мудрость мужество,1
политическую волю мудрость,1
проявить политическую волю,1
основательницы организации объединенных,1
организации объединенных наций,1
объединенных наций именно,1
устойчивое развитие человечества,1
всего начать мер,1
прежде всего начать,1
должны прежде всего,1
наций должны прежде,1
пять наций должны,1
человечества пять наций,1
развитие человечества пять,1
сохранение устойчивое развитие,1
наций именно пять,1
ответственность сохранение устойчивое,1
особую ответственность сохранение,1
несут особую ответственность,1
держав несут особую,1
ядерных держав несут,1
пять ядерных держав,1
именно пять ядерных,1
сделаны своевременно достаточном,1
достаточном объеме впервые,1
россии неотделимо достойной,1
развития россии позволяет,1
прогрессивного мирного развития,1
основу прогрессивного мирного,1
создает основу прогрессивного,1
безопасность создает основу,1
надежная безопасность создает,1
делаем надежная безопасность,1
поколений делаем надежная,1
будущих поколений делаем,1
системы будущих поколений,1
комплексы системы будущих,1
боевые комплексы системы,1
разрабатывать боевые комплексы,1
мире разрабатывать боевые,1
сфере мире разрабатывать,1
происходит сфере мире,1
то происходит сфере,1
анализируя то происходит,1
мирного развития россии,1
россии позволяет нам,1
объеме впервые хочу,1
позволяет нам сделать,1
величие россии неотделимо,1
людей величие россии,1
интересах людей величие,1
регионов интересах людей,1
наших регионов интересах,1
росте наших регионов,1
социальном росте наших,1
экономическом социальном росте,1
сосредоточиться экономическом социальном,1
вопросов сосредоточиться экономическом,1
внутренних вопросов сосредоточиться,1
насущных внутренних вопросов,1
самых насущных внутренних,1
решения самых насущных,1
гораздо решения самых,1
сделать гораздо решения,1
нам сделать гораздо,1
наблюдая анализируя то,1
внимательно наблюдая анализируя,1
вперед внимательно наблюдая,1
идти вперед внимательно,1
другим ведущим государствам,1
наоборот другим ведущим,1
догоняем наоборот другим,1
никого догоняем наоборот,1
время никого догоняем,1
новейшее время никого,1
период новейшее время,1
советский период новейшее,1
включая советский период,1
оружия включая советский,1
ракетноядерного оружия включая,1
существования ракетноядерного оружия,1
историю существования ракетноядерного,1
впервые историю существования,1
подчеркнуть впервые историю,1
это подчеркнуть впервые,1
впервые хочу это,1
ведущим государствам мира,1
государствам мира предстоит,1
мира предстоит создать,1
десятилетия вперед хотя,1
нужно идти вперед,1
расслабляться нужно идти,1
лаврах расслабляться нужно,1
почивать лаврах расслабляться,1
нам почивать лаврах,1
хотя нам почивать,1
вперед хотя нам,1
обеспечена десятилетия вперед,1
предстоит создать оружие,1
страны обеспечена десятилетия,1
обороноспособность страны обеспечена,1
россия обороноспособность страны,1
обладает россия обороноспособность,1
которым обладает россия,1
оружие которым обладает,1
создать оружие которым,1
нужно создать такие,1
неудачная реализация идеи,1
преследованием словом нужно,1
нужно наконец завершить,1
которые убирают размытые,1
поправки которые убирают,1
поддержать поправки которые,1
прошу поддержать поправки,1
думу прошу поддержать,1
внес думу прошу,1
третье внес думу,1
проще третье внес,1
удобнее проще третье,1
бизнеса удобнее проще,1
работу бизнеса удобнее,1
сделать работу бизнеса,1
самым сделать работу,1
деятельности самым сделать,1
контрольнонадзорной деятельности самым,1
реформу контрольнонадзорной деятельности,1
завершить реформу контрольнонадзорной,1
убирают размытые нормы,1
размытые нормы уголовного,1
нормы уголовного законодательства,1
обращали внимание ю,1
компания чьи руководители,1
любая компания чьи,1
которой любая компания,1
ук которой любая,1
статью ук которой,1
ю статью ук,1
внимание ю статью,1
неоднократно обращали внимание,1
уголовного законодательства части,1
предприниматели неоднократно обращали,1
так предприниматели неоднократно,1
составов так предприниматели,1
экономических составов так,1
называемых экономических составов,1
части называемых экономических,1
законодательства части называемых,1
наконец завершить реформу,1
году нужно наконец,1
руководители нарушили закон,1
второе году нужно,1
понятно почему региональные,1
возможность понятно почему,1
используют возможность понятно,1
редко используют возможность,1
прибыль редко используют,1
налогу прибыль редко,1
льготу налогу прибыль,1
трехлетнюю льготу налогу,1
вычет трехлетнюю льготу,1
налоговый вычет трехлетнюю,1
инвестиционный налоговый вычет,1
называемый инвестиционный налоговый,1
предоставлять называемый инвестиционный,1
право предоставлять называемый,1
федерации право предоставлять,1
субъектов федерации право,1
бизнеса субъектов федерации,1
почему региональные бюджеты,1
региональные бюджеты теряют,1
бюджеты теряют поступления,1
две трети выпадающих,1
вычета второе году,1
налогового вычета второе,1
инвестиционного налогового вычета,1
применения инвестиционного налогового,1
доходов применения инвестиционного,1
выпадающих доходов применения,1
трети выпадающих доходов,1
регионам две трети,1
теряют поступления связи,1
компенсировать регионам две,1
средств компенсировать регионам,1
федеральных средств компенсировать,1
счет федеральных средств,1
предлагаю счет федеральных,1
связи предлагаю счет,1
поступления связи предлагаю,1
чьи руководители нарушили,1
нарушили закон могла,1
уголовным преследованием словом,1
процентов ввп сформировали,1
экономику приоритетом должны,1
национальную экономику приоритетом,1
развитие национальную экономику,1
доходы развитие национальную,1
дополнительные доходы развитие,1
вкладывать дополнительные доходы,1
можем вкладывать дополнительные,1
значит можем вкладывать,1
безопасность значит можем,1
устойчивость безопасность значит,1
нам устойчивость безопасность,1
гарантируют нам устойчивость,1
которые гарантируют нам,1
резервов которые гарантируют,1
объемы резервов которые,1
такие объемы резервов,1
сформировали такие объемы,1
приоритетом должны стать,1
должны стать окупаемые,1
стать окупаемые проекты,1
автомобильные обходы крупных,1
выходы федеральные автотрассы,1
центрами выходы федеральные,1
областными центрами выходы,1
магистрали областными центрами,1
городов магистрали областными,1
крупных городов магистрали,1
обходы крупных городов,1
числе автомобильные обходы,1
окупаемые проекты которые,1
это числе автомобильные,1
территорий это числе,1
ограничения территорий это,1
инфраструктурные ограничения территорий,1
снимают инфраструктурные ограничения,1
которые снимают инфраструктурные,1
проекты которые снимают,1
ввп сформировали такие,1
отметку процентов ввп,1
закон могла квалифицироваться,1
преодолеет отметку процентов,1
органы впредь будут,1
правоохранительные органы впредь,1
наказания правоохранительные органы,1
пресечения наказания правоохранительные,1
меры пресечения наказания,1
строгие меры пресечения,1
устанавливались строгие меры,1
статью устанавливались строгие,1
подпадали статью устанавливались,1
сотрудники подпадали статью,1
практически сотрудники подпадали,1
значит практически сотрудники,1
сообщество значит практически,1
преступное сообщество значит,1
организованное преступное сообщество,1
квалифицироваться организованное преступное,1
могла квалифицироваться организованное,1
впредь будут обязаны,1
будут обязаны доказать,1
обязаны доказать организация,1
оценкам летом часть,1
валюте преодолеет отметку,1
размещенная валюте преодолеет,1
благосостояния размещенная валюте,1
национального благосостояния размещенная,1
фонда национального благосостояния,1
часть фонда национального,1
летом часть фонда,1
четвертое оценкам летом,1
доказать организация компания,1
цели четвертое оценкам,1
незаконные цели четвертое,1
создавалась незаконные цели,1
умышленно создавалась незаконные,1
изначально умышленно создавалась,1
компания изначально умышленно,1
организация компания изначально,1
среднего бизнеса субъектов,1
малого среднего бизнеса,1
инициативы малого среднего,1
центрального банка решения,1
получить такую динамику,1
мировых получить такую,1
выше мировых получить,1
должны выше мировых,1
россии должны выше,1
ввп россии должны,1
роста ввп россии,1
темпы роста ввп,1
году темпы роста,1
