Index;File1_Sentences;File2_Sentences;File1_Frequency;File2_Frequency
16;Ведь именно здесь, в Крыму, в древнем Херсонесе или, как его называли русские летописцы, Корсуни, принял крещение князь Владимир, а затем и крестил всю Русь.;Мы, например, отразили агрессию международного терроризма, сберегли единство страны, не позволили разорвать её на части в своё время.;Counter({'в': 2, 'ведь': 1, 'именно': 1, 'здесь': 1, 'крыму': 1, 'древнем': 1, 'херсонесе': 1, 'или': 1, 'как': 1, 'его': 1, 'называли': 1, 'русские': 1, 'летописцы': 1, 'корсуни': 1, 'принял': 1, 'крещение': 1, 'князь': 1, 'владимир': 1, 'а': 1, 'затем': 1, 'и': 1, 'крестил': 1, 'всю': 1, 'русь': 1});Counter({'мы': 1, 'например': 1, 'отразили': 1, 'агрессию': 1, 'международного': 1, 'терроризма': 1, 'сберегли': 1, 'единство': 1, 'страны': 1, 'не': 1, 'позволили': 1, 'разорвать': 1, 'её': 1, 'на': 1, 'части': 1, 'в': 1, 'своё': 1, 'время': 1})
17;Наряду с этнической близостью, языком и общими элементами материальной культуры, общей, хотя и не очерченной тогда устойчивыми границами территорией, нарождающейся совместной хозяйственной деятельностью и властью князя, христианство явилось мощной духовной объединяющей силой, которая позволила включить в формирование единой русской нации и образование общей государственности самые разные по крови племена и племенные союзы, весь обширный восточнославянский мир.;Мы поддержали наших братьев и сестёр, их волю быть с Россией, и в этом году десять лет легендарной «русской весне».;Counter({'и': 5, 'общей': 2, 'наряду': 1, 'с': 1, 'этнической': 1, 'близостью': 1, 'языком': 1, 'общими': 1, 'элементами': 1, 'материальной': 1, 'культуры': 1, 'хотя': 1, 'не': 1, 'очерченной': 1, 'тогда': 1, 'устойчивыми': 1, 'границами': 1, 'территорией': 1, 'нарождающейся': 1, 'совместной': 1, 'хозяйственной': 1, 'деятельностью': 1, 'властью': 1, 'князя': 1, 'христианство': 1, 'явилось': 1, 'мощной': 1, 'духовной': 1, 'объединяющей': 1, 'силой': 1, 'которая': 1, 'позволила': 1, 'включить': 1, 'в': 1, 'формирование': 1, 'единой': 1, 'русской': 1, 'нации': 1, 'образование': 1, 'государственности': 1, 'самые': 1, 'разные': 1, 'по': 1, 'крови': 1, 'племена': 1, 'племенные': 1, 'союзы': 1, 'весь': 1, 'обширный': 1, 'восточнославянский': 1, 'мир': 1});Counter({'и': 2, 'мы': 1, 'поддержали': 1, 'наших': 1, 'братьев': 1, 'сестёр': 1, 'их': 1, 'волю': 1, 'быть': 1, 'с': 1, 'россией': 1, 'в': 1, 'этом': 1, 'году': 1, 'десять': 1, 'лет': 1, 'легендарной': 1, 'русской': 1, 'весне': 1})
18;И именно на этой духовной почве наши предки впервые и навсегда осознали себя единым народом.;Но и сейчас энергия, искренность, мужество её героев – крымчан, севастопольцев, жителей восставшего Донбасса, их любовь к Родине, которую они пронесли через поколения, безусловно, вызывают гордость.;Counter({'и': 2, 'именно': 1, 'на': 1, 'этой': 1, 'духовной': 1, 'почве': 1, 'наши': 1, 'предки': 1, 'впервые': 1, 'навсегда': 1, 'осознали': 1, 'себя': 1, 'единым': 1, 'народом': 1});Counter({'но': 1, 'и': 1, 'сейчас': 1, 'энергия': 1, 'искренность': 1, 'мужество': 1, 'её': 1, 'героев': 1, 'крымчан': 1, 'севастопольцев': 1, 'жителей': 1, 'восставшего': 1, 'донбасса': 1, 'их': 1, 'любовь': 1, 'к': 1, 'родине': 1, 'которую': 1, 'они': 1, 'пронесли': 1, 'через': 1, 'поколения': 1, 'безусловно': 1, 'вызывают': 1, 'гордость': 1})
19;(Аплодисменты.);Всё это вдохновляет, укрепляет уверенность в том, что мы всё преодолеем, вместе всё сможем.;Counter({'аплодисменты': 1});Counter({'всё': 3, 'это': 1, 'вдохновляет': 1, 'укрепляет': 1, 'уверенность': 1, 'в': 1, 'том': 1, 'что': 1, 'мы': 1, 'преодолеем': 1, 'вместе': 1, 'сможем': 1})
20;И это даёт нам все основания сказать, что для России Крым, древняя Корсунь - Херсонес, Севастополь имеют огромное цивилизационное и сакральное значение.;Именно так – всем миром – мы не только заставили отступить смертельную угрозу глобальной эпидемии совсем недавно, но и показали, что в нашем обществе преобладают такие ценности, как милосердие, взаимная поддержка, солидарность.;Counter({'и': 2, 'это': 1, 'даёт': 1, 'нам': 1, 'все': 1, 'основания': 1, 'сказать': 1, 'что': 1, 'для': 1, 'россии': 1, 'крым': 1, 'древняя': 1, 'корсунь': 1, 'херсонес': 1, 'севастополь': 1, 'имеют': 1, 'огромное': 1, 'цивилизационное': 1, 'сакральное': 1, 'значение': 1});Counter({'именно': 1, 'так': 1, 'всем': 1, 'миром': 1, 'мы': 1, 'не': 1, 'только': 1, 'заставили': 1, 'отступить': 1, 'смертельную': 1, 'угрозу': 1, 'глобальной': 1, 'эпидемии': 1, 'совсем': 1, 'недавно': 1, 'но': 1, 'и': 1, 'показали': 1, 'что': 1, 'в': 1, 'нашем': 1, 'обществе': 1, 'преобладают': 1, 'такие': 1, 'ценности': 1, 'как': 1, 'милосердие': 1, 'взаимная': 1, 'поддержка': 1, 'солидарность': 1})
21;Так же, как и Храмовая гора в Иерусалиме для тех, кто исповедует ислам и иудаизм.;И сегодня, когда наша Родина отстаивает свой суверенитет и безопасность, защищает жизнь соотечественников на Донбассе и в Новороссии, решающая роль в этой праведной борьбе принадлежит именно нашим гражданам, нашей сплочённости, преданности родной стране, ответственности за её судьбу.;Counter({'и': 2, 'так': 1, 'же': 1, 'как': 1, 'храмовая': 1, 'гора': 1, 'в': 1, 'иерусалиме': 1, 'для': 1, 'тех': 1, 'кто': 1, 'исповедует': 1, 'ислам': 1, 'иудаизм': 1});Counter({'и': 3, 'в': 2, 'сегодня': 1, 'когда': 1, 'наша': 1, 'родина': 1, 'отстаивает': 1, 'свой': 1, 'суверенитет': 1, 'безопасность': 1, 'защищает': 1, 'жизнь': 1, 'соотечественников': 1, 'на': 1, 'донбассе': 1, 'новороссии': 1, 'решающая': 1, 'роль': 1, 'этой': 1, 'праведной': 1, 'борьбе': 1, 'принадлежит': 1, 'именно': 1, 'нашим': 1, 'гражданам': 1, 'нашей': 1, 'сплочённости': 1, 'преданности': 1, 'родной': 1, 'стране': 1, 'ответственности': 1, 'за': 1, 'её': 1, 'судьбу': 1})
22;Именно так мы и будем к этому относиться отныне и навсегда!;Эти качества чётко, однозначно проявились в самом начале специальной военной операции, когда её поддержало абсолютное большинство российского народа.;Counter({'и': 2, 'именно': 1, 'так': 1, 'мы': 1, 'будем': 1, 'к': 1, 'этому': 1, 'относиться': 1, 'отныне': 1, 'навсегда': 1});Counter({'эти': 1, 'качества': 1, 'чётко': 1, 'однозначно': 1, 'проявились': 1, 'в': 1, 'самом': 1, 'начале': 1, 'специальной': 1, 'военной': 1, 'операции': 1, 'когда': 1, 'её': 1, 'поддержало': 1, 'абсолютное': 1, 'большинство': 1, 'российского': 1, 'народа': 1})
23;(Аплодисменты.);Несмотря на все испытания, горечь потерь, люди непреклонны в этом выборе и постоянно подтверждают его стремлением сделать как можно больше для страны и для общего блага.;Counter({'аплодисменты': 1});Counter({'и': 2, 'для': 2, 'несмотря': 1, 'на': 1, 'все': 1, 'испытания': 1, 'горечь': 1, 'потерь': 1, 'люди': 1, 'непреклонны': 1, 'в': 1, 'этом': 1, 'выборе': 1, 'постоянно': 1, 'подтверждают': 1, 'его': 1, 'стремлением': 1, 'сделать': 1, 'как': 1, 'можно': 1, 'больше': 1, 'страны': 1, 'общего': 1, 'блага': 1})
24;Уважаемые друзья!;На производствах трудятся в три смены – столько, сколько нужно фронту.;Counter({'уважаемые': 1, 'друзья': 1});Counter({'на': 1, 'производствах': 1, 'трудятся': 1, 'в': 1, 'три': 1, 'смены': 1, 'столько': 1, 'сколько': 1, 'нужно': 1, 'фронту': 1})
25;Сегодня, конечно, нельзя не сказать и о нашей оценке событий на Украине.;Вся экономика, а это индустриальная, технологическая основа нашей победы, проявила гибкость и устойчивость.;Counter({'сегодня': 1, 'конечно': 1, 'нельзя': 1, 'не': 1, 'сказать': 1, 'и': 1, 'о': 1, 'нашей': 1, 'оценке': 1, 'событий': 1, 'на': 1, 'украине': 1});Counter({'вся': 1, 'экономика': 1, 'а': 1, 'это': 1, 'индустриальная': 1, 'технологическая': 1, 'основа': 1, 'нашей': 1, 'победы': 1, 'проявила': 1, 'гибкость': 1, 'и': 1, 'устойчивость': 1})
26;Нельзя к этому не вернуться.;Хочу поблагодарить сейчас предпринимателей, инженеров, рабочих, сельских тружеников за ответственную, напряжённую работу в интересах России.;Counter({'нельзя': 1, 'к': 1, 'этому': 1, 'не': 1, 'вернуться': 1});Counter({'хочу': 1, 'поблагодарить': 1, 'сейчас': 1, 'предпринимателей': 1, 'инженеров': 1, 'рабочих': 1, 'сельских': 1, 'тружеников': 1, 'за': 1, 'ответственную': 1, 'напряжённую': 1, 'работу': 1, 'в': 1, 'интересах': 1, 'россии': 1})
27;О том, как мы намерены строить отношения с партнёрами во всём мире.;Миллионы людей объединила акция «Мы вместе» и проект Общероссийского народного фронта «Всё для победы!».;Counter({'о': 1, 'том': 1, 'как': 1, 'мы': 1, 'намерены': 1, 'строить': 1, 'отношения': 1, 'с': 1, 'партнёрами': 1, 'во': 1, 'всём': 1, 'мире': 1});Counter({'миллионы': 1, 'людей': 1, 'объединила': 1, 'акция': 1, 'мы': 1, 'вместе': 1, 'и': 1, 'проект': 1, 'общероссийского': 1, 'народного': 1, 'фронта': 1, 'всё': 1, 'для': 1, 'победы': 1})
28;Хорошо известно, что Россия не только поддержала Украину и другие братские республики бывшего СССР в их стремлении к суверенитету, но и в значительной степени способствовала этому процессу на рубеже 90-х годов.;Российский бизнес за два года направил миллиарды рублей волонтёрским организациям и благотворительным фондам, которые поддерживают наших бойцов и их семьи.;Counter({'и': 2, 'в': 2, 'хорошо': 1, 'известно': 1, 'что': 1, 'россия': 1, 'не': 1, 'только': 1, 'поддержала': 1, 'украину': 1, 'другие': 1, 'братские': 1, 'республики': 1, 'бывшего': 1, 'ссср': 1, 'их': 1, 'стремлении': 1, 'к': 1, 'суверенитету': 1, 'но': 1, 'значительной': 1, 'степени': 1, 'способствовала': 1, 'этому': 1, 'процессу': 1, 'на': 1, 'рубеже': 1, 'годов': 1});Counter({'и': 2, 'российский': 1, 'бизнес': 1, 'за': 1, 'два': 1, 'года': 1, 'направил': 1, 'миллиарды': 1, 'рублей': 1, 'волонтёрским': 1, 'организациям': 1, 'благотворительным': 1, 'фондам': 1, 'которые': 1, 'поддерживают': 1, 'наших': 1, 'бойцов': 1, 'их': 1, 'семьи': 1})
29;С тех пор в нашей позиции ничего не изменилось.;Люди отправляют на фронт письма и посылки, тёплые вещи, маскировочные сети, перечисляют средства из своих, порой очень скромных, сбережений.;Counter({'с': 1, 'тех': 1, 'пор': 1, 'в': 1, 'нашей': 1, 'позиции': 1, 'ничего': 1, 'не': 1, 'изменилось': 1});Counter({'люди': 1, 'отправляют': 1, 'на': 1, 'фронт': 1, 'письма': 1, 'и': 1, 'посылки': 1, 'тёплые': 1, 'вещи': 1, 'маскировочные': 1, 'сети': 1, 'перечисляют': 1, 'средства': 1, 'из': 1, 'своих': 1, 'порой': 1, 'очень': 1, 'скромных': 1, 'сбережений': 1})
30;Каждый народ имеет неотъемлемое суверенное право на собственный путь развития, на выбор союзников, формы политической организации общества, построения экономики и обеспечения своей безопасности.;Повторю, такая помощь бесценна – это вклад каждого в общую победу.;Counter({'на': 2, 'каждый': 1, 'народ': 1, 'имеет': 1, 'неотъемлемое': 1, 'суверенное': 1, 'право': 1, 'собственный': 1, 'путь': 1, 'развития': 1, 'выбор': 1, 'союзников': 1, 'формы': 1, 'политической': 1, 'организации': 1, 'общества': 1, 'построения': 1, 'экономики': 1, 'и': 1, 'обеспечения': 1, 'своей': 1, 'безопасности': 1});Counter({'повторю': 1, 'такая': 1, 'помощь': 1, 'бесценна': 1, 'это': 1, 'вклад': 1, 'каждого': 1, 'в': 1, 'общую': 1, 'победу': 1})
31;Россия всегда относится к этому и будет относиться с уважением.;Наши герои на передовой, в окопах, там, где труднее всего, знают, что с ними вся страна.;Counter({'россия': 1, 'всегда': 1, 'относится': 1, 'к': 1, 'этому': 1, 'и': 1, 'будет': 1, 'относиться': 1, 'с': 1, 'уважением': 1});Counter({'наши': 1, 'герои': 1, 'на': 1, 'передовой': 1, 'в': 1, 'окопах': 1, 'там': 1, 'где': 1, 'труднее': 1, 'всего': 1, 'знают': 1, 'что': 1, 'с': 1, 'ними': 1, 'вся': 1, 'страна': 1})
32;Это в полной мере касается и Украины, братского украинского народа.;Хочу отметить работу фонда «Защитники Отечества», усилия Комитета семей воинов Отечества, других общественных объединений.;Counter({'это': 1, 'в': 1, 'полной': 1, 'мере': 1, 'касается': 1, 'и': 1, 'украины': 1, 'братского': 1, 'украинского': 1, 'народа': 1});Counter({'отечества': 2, 'хочу': 1, 'отметить': 1, 'работу': 1, 'фонда': 1, 'защитники': 1, 'усилия': 1, 'комитета': 1, 'семей': 1, 'воинов': 1, 'других': 1, 'общественных': 1, 'объединений': 1})
33;Да, мы осудили государственный переворот, силовой захват власти в Киеве в феврале этого года.;Прошу все органы власти и впредь делать всё, чтобы поддержать семьи наших героев: родителей, жён, детей, которые переживают за самых близких, дорогих им людей, ждут их домой.;Counter({'в': 2, 'да': 1, 'мы': 1, 'осудили': 1, 'государственный': 1, 'переворот': 1, 'силовой': 1, 'захват': 1, 'власти': 1, 'киеве': 1, 'феврале': 1, 'этого': 1, 'года': 1});Counter({'прошу': 1, 'все': 1, 'органы': 1, 'власти': 1, 'и': 1, 'впредь': 1, 'делать': 1, 'всё': 1, 'чтобы': 1, 'поддержать': 1, 'семьи': 1, 'наших': 1, 'героев': 1, 'родителей': 1, 'жён': 1, 'детей': 1, 'которые': 1, 'переживают': 1, 'за': 1, 'самых': 1, 'близких': 1, 'дорогих': 1, 'им': 1, 'людей': 1, 'ждут': 1, 'их': 1, 'домой': 1})
34;И то, что мы видим сейчас на Украине - трагедия на Юго-Востоке, - полностью подтверждает правильность нашей позиции.;Признателен парламентским партиям за консолидацию вокруг национальных интересов.;Counter({'на': 2, 'и': 1, 'то': 1, 'что': 1, 'мы': 1, 'видим': 1, 'сейчас': 1, 'украине': 1, 'трагедия': 1, 'полностью': 1, 'подтверждает': 1, 'правильность': 1, 'нашей': 1, 'позиции': 1});Counter({'признателен': 1, 'парламентским': 1, 'партиям': 1, 'за': 1, 'консолидацию': 1, 'вокруг': 1, 'национальных': 1, 'интересов': 1})
35;С чего всё началось?;Политическая система России – одна из опор суверенитета страны.;Counter({'с': 1, 'чего': 1, 'всё': 1, 'началось': 1});Counter({'политическая': 1, 'система': 1, 'россии': 1, 'одна': 1, 'из': 1, 'опор': 1, 'суверенитета': 1, 'страны': 1})
36;Я вынужден напомнить сегодня об этом.;Будем и дальше развивать институты демократии, никому не позволим вмешиваться в наши внутренние дела.;Counter({'я': 1, 'вынужден': 1, 'напомнить': 1, 'сегодня': 1, 'об': 1, 'этом': 1});Counter({'будем': 1, 'и': 1, 'дальше': 1, 'развивать': 1, 'институты': 1, 'демократии': 1, 'никому': 1, 'не': 1, 'позволим': 1, 'вмешиваться': 1, 'в': 1, 'наши': 1, 'внутренние': 1, 'дела': 1})
37;Трудно даже поверить, с чего всё началось!;Так называемый Запад с его колониальными повадками, привычкой разжигать по всему миру национальные конфликты стремится не просто сдержать наше развитие – вместо России им нужно зависимое, угасающее, вымирающее пространство, где можно творить всё что угодно.;Counter({'трудно': 1, 'даже': 1, 'поверить': 1, 'с': 1, 'чего': 1, 'всё': 1, 'началось': 1});Counter({'так': 1, 'называемый': 1, 'запад': 1, 'с': 1, 'его': 1, 'колониальными': 1, 'повадками': 1, 'привычкой': 1, 'разжигать': 1, 'по': 1, 'всему': 1, 'миру': 1, 'национальные': 1, 'конфликты': 1, 'стремится': 1, 'не': 1, 'просто': 1, 'сдержать': 1, 'наше': 1, 'развитие': 1, 'вместо': 1, 'россии': 1, 'им': 1, 'нужно': 1, 'зависимое': 1, 'угасающее': 1, 'вымирающее': 1, 'пространство': 1, 'где': 1, 'можно': 1, 'творить': 1, 'всё': 1, 'что': 1, 'угодно': 1})
