Trigram,Frequency
восемьсот рублей ассигнациями,2
глядит глядит волосы,2
спросил помолчав илья,2
постой остановил обломов,2
придерживаясь рукой дверь,2
захар ушел илья,2
ради бога подумайте,2
произнес илья иванович,2
обломов тараща глаза,2
сквозь решетку забора,2
ходить взад вперед,2
захар трофимыч спросил,2
семену семен никите,2
илья ильич какое,2
ужасом произнес обломов,2
бог знает отчего,2
ходил четверть полу,2
сухой кашель старухи,2
захар принес квасу,2
кум иван матвеевич,2
началось скаканье цепи,2
спросил обломов правда,2
прощайте татьяна ивановна,2
завел пару лошадей,2
кончил курс ученья,2
прощайте прощайте сказали,2
правда правда перебил,2
махнул головой улицу,2
иван матвеевич наливая,2
спустил ноги пол,2
ушел илья ильич,2
отвечал илья ильич,2
ma tante уехала,2
вора падшую женщину,2
кликнул захара захар,2
друг другу руки,2
захар ах господи,2
помяни мое слово,2
сорвала ветку сирени,2
цыплятами свежими грибами,2
михей андреич обломов,2
захар поди нетерпением,2
достается наследникам пусть,2
малейшего едва заметного,2
делает dieu sait,2
строго спросил тарантьев,2
недостатками илья ильич,2
бумажным пакетом мышкой,2
большим бумажным пакетом,2
отвечал обломов указывая,2
кататься лука савич,2
становилось темнее темнее,2
мсье обломов никак,2
обломов никак ожидала,2
бог даст дождемся,2
скажет бог даст,2
старался заглянуть лицо,2
спросила глядя таким,2
ужасом спросил обломов,2
люблю настоящая любовь,2
илья ильич илья,2
пред ждали мечтали,2
настасью ивановну степаниду,2
знай бабье дело,2
таинственный уговор слить,2
нетерпеливо спросил обломов,2
слить жизни одну,2
уговор слить жизни,2
спросил обломов глядя,2
дом сад павильон,2
ильич илья ильич,2
дожить этакой радости,2
закурил сигару сел,2
спросила глядя лицо,2
алексеев илья ильич,2
илья ильич отвечал,2
захар поворачиваясь двери,2
голой шеей локтями,2
захар ушел вздохнул,2
прощайте илья ильич,2
захар любил выпить,2
милая ольга сергевна,2
жизни ильи ильича,2
слышишь илья завтра,2
слезами произнес обломов,2
двенадцати пяти канцелярии,2
боже какое счастье,2
деревни прислали тысячу,2
спросил иван матвеевич,2
илья ильич получил,2
штольц изумлением поглядел,2
илье ильичу сделать,2
подвергаемся делаем делаем,1
делаем делаем остановившись,1
строгому порицанию подвергаемся,1
остановившись спросила обманываешь,1
свет людей притом,1
делаем остановившись спросила,1
людей притом чиста,1
притом чиста свято,1
голову приходит какому,1
чиста свято любишь,1
свято любишь голову,1
какому строгому порицанию,1
приходит какому строгому,1
порицанию подвергаемся делаем,1
любишь голову приходит,1
ноги переступают движутся,1
невидимой беседой душ,1
знаешь свет людей,1
скучать ах ольга,1
рукой отталкивал удерживал,1
отталкивал удерживал доверчива,1
удерживал доверчива обманывал,1
дернуло встревожить некстати,1
доверчива обманывал ново,1
захара дернуло встревожить,1
пением захара дернуло,1
обманывал ново чувство,1
ново чувство новость,1
чувство новость начинаешь,1
новость начинаешь скучать,1
начинаешь скучать ах,1
ах ольга несправедлива,1
молода знаешь свет,1
ольга несправедлива ново,1
несправедлива ново говорю,1
душ пением захара,1
беседой душ пением,1
ново говорю некогда,1
говорю некогда невозможно,1
некогда невозможно образумиться,1
невозможно образумиться убивает,1
образумиться убивает совесть,1
обманываешь тетку тайком,1
убивает совесть молода,1
совесть молода знаешь,1
спросила обманываешь тетку,1
видишься наедине мужчиной,1
тетку тайком уходишь,1
строже осмотрительнее каждому,1
вести руку аллее,1
гордостью вести руку,1
хочу гордостью вести,1
шагу хочу гордостью,1
каждому шагу хочу,1
осмотрительнее каждому шагу,1
употребить длинное несносное,1
невеста возразила милая,1
руки строже осмотрительнее,1
обе руки строже,1
пожимая обе руки,1
ольга пожимая обе,1
длинное несносное послезавтра,1
милая ольга пожимая,1
размышлять употребить длинное,1
руку аллее всенародно,1
аллее всенародно тайком,1
всенародно тайком взгляды,1
тайком взгляды склонялись,1
удовлетворительным размышлять употребить,1
взгляды склонялись уважением,1
склонялись уважением устремлялись,1
уважением устремлялись смело,1
устремлялись смело лукаво,1
возможности удовлетворительным размышлять,1
смело лукаво чьей,1
лукаво чьей голове,1
чьей голове смело,1
голове смело родиться,1
ответом возможности удовлетворительным,1
смело родиться подозрение,1
возразила милая ольга,1
жених невеста возразила,1
тайком уходишь дома,1
попробуй воскресенье гостях,1
произнесла покойно пожалуй,1
которое наполнено присутствием,1
наполнено присутствием ольги,1
отчего произнесла покойно,1
гостях отчего произнесла,1
воскресенье гостях отчего,1
присутствием ольги невидимой,1
задумалась жених невеста,1
мужчиной попробуй воскресенье,1
наедине мужчиной попробуй,1
ольги невидимой беседой,1
раздумье увлекался рукой,1
дома видишься наедине,1
уходишь дома видишься,1
покойно пожалуй скажу,1
пожалуй скажу увидишь,1
скажу увидишь продолжал,1
увидишь продолжал тетке,1
продолжал тетке твоей,1
тетке твоей сделается,1
твоей сделается дурно,1
сделается дурно дамы,1
дурно дамы бросятся,1
дамы бросятся мужчины,1
послезавтра которое наполнено,1
бросятся мужчины лукаво,1
несносное послезавтра которое,1
мужчины лукаво смело,1
лукаво смело посмотрят,1
смело посмотрят задумалась,1
посмотрят задумалась жених,1
увлекался рукой отталкивал,1
нетерпением делаем дурно,1
даче раздумье увлекался,1
спрашивают дворник вызвал,1
лицо воротился ждет,1
воротился ждет утирая,1
двор спрашивают дворник,1
ждет утирая лицо,1
вошел двор спрашивают,1
утирая лицо эй,1
лицо эй лодочник,1
эй лодочник берегу,1
собаки вошел двор,1
лодочник берегу приказывала,1
берегу приказывала лодочнику,1
приказывала лодочнику берегу,1
лай собаки вошел,1
лодочнику берегу воротился,1
берегу воротился твердил,1
неистовое скаканье цепи,1
разбудило неистовое скаканье,1
воротился твердил обломов,1
послезавтра разбудило неистовое,1
твердил обломов пусть,1
обломов пусть обломов,1
пришло послезавтра разбудило,1
пусть обломов настоял,1
обломов настоял своем,1
настоял своем торопливо,1
своем торопливо пошел,1
торопливо пошел саду,1
деревни пришло послезавтра,1
пошел саду напротив,1
брызнула лицо воротился,1
говорила брызнула лицо,1
тайком даче раздумье,1
дворник вызвал захара,1
спросил велела подождал,1
велела подождал магазин,1
подождал магазин пошла,1
обломову письмо городской,1
принес обломову письмо,1
магазин пошла сюда,1
пошла сюда марья,1
сюда марья михайловна,1
марья михайловна спросит,1
михайловна спросит магазин,1
спросит магазин пошла,1
магазин пошла скажу,1
пошла скажу портнихи,1
скажу портнихи портнихи,1
портнихи портнихи спросит,1
портнихи спросит нева,1
захар принес обломову,1
спросит нева утечет,1
нева утечет море,1
утечет море лодка,1
море лодка перевернется,1
лодка перевернется морская,1
перевернется морская дом,1
морская дом провалятся,1
дом провалятся разлюбишь,1
захара захар принес,1
провалятся разлюбишь говорила,1
вызвал захара захар,1
разлюбишь говорила брызнула,1
саду напротив шла,1
напротив шла тихо,1
шла тихо опираясь,1
тихо опираясь руку,1
лицо думала другом,1
думала другом послушай,1
другом послушай ольга,1
герасимовичу отобедать заметить,1
послушай ольга заговорил,1
ивану герасимовичу отобедать,1
поехать ивану герасимовичу,1
ольга заговорил торжественно,1
заговорил торжественно опасением,1
торжественно опасением возбудить,1
опасением возбудить досаду,1
возбудить досаду навлечь,1
досаду навлечь упреки,1
навлечь упреки должен,1
решился поехать ивану,1
некстати решился поехать,1
упреки должен однакож,1
должен однакож решительно,1
однакож решительно зашли,1
решительно зашли долг,1
зашли долг обязанность,1
долг обязанность спросила,1
обязанность спросила нетерпением,1
спросила нетерпением делаем,1
поспешить ответом возможности,1
делаем дурно видимся,1
дурно видимся тайком,1
видимся тайком даче,1
встревожить некстати решился,1
глядя лицо думала,1
голову глядя лицо,1
склонив голову глядя,1
взглядывала лицо тяжело,1
ответ деревни пришло,1
придет ответ деревни,1
опираясь руку спешишь,1
руку спешишь говорила,1
спешишь говорила погоди,1
говорила погоди хочется,1
погоди хочется побыть,1
хочется побыть шла,1
побыть шла тише,1
шла тише прижималась,1
тише прижималась плечу,1
прижималась плечу взглядывала,1
плечу взглядывала лицо,1
приготовиться придет ответ,1
отобедать заметить несносный,1
лицо тяжело скучно,1
тяжело скучно обязанностях,1
успеет приготовиться придет,1
воскресенью успеет приготовиться,1
скучно обязанностях долге,1
обязанностях долге слушала,1
долге слушала рассеянно,1
несносный воскресенью успеет,1
слушала рассеянно томной,1
рассеянно томной улыбкой,1
заметить несносный воскресенью,1
томной улыбкой склонив,1
улыбкой склонив голову,1
родиться подозрение гордая,1
очертя голову забыв,1
подозрение гордая девушка,1
надоело намекают едва,1
едва выговорил обломов,1
выговорил обломов милости,1
обломов милости сонечки,1
милости сонечки видишь,1
сонечки видишь видишь,1
говорить говорить решился,1
ольге говорить говорить,1
видишь видишь слушала,1
видишь слушала рассердилась,1
слушала рассердилась видишь,1
покажется ольге говорить,1
рассердилась видишь вижу,1
глазами покажется ольге,1
какими глазами покажется,1
знал какими глазами,1
видишь вижу вижу,1
вижу вижу трус,1
обломов знал какими,1
вижу трус боюсь,1
трус боюсь намеков,1
внутри обломов знал,1
боюсь намеков трус,1
намеков трус осторожен,1
раздалось внутри обломов,1
трус осторожен пойдем,1
осторожен пойдем ради,1
пойдем ради бога,1
бога ольга смотри,1
ольга смотри карета,1
намекают едва выговорил,1
лукаво надоело намекают,1
отошло раздалось внутри,1
намекают лукаво надоело,1
тетке свадьба любви,1
свадьба любви говорить,1
любви говорить таких,1
говорить таких делах,1
таких делах вовсе,1
отложить свидание воскресенья,1
среду отложить свидание,1
делах вовсе приготовлен,1
вовсе приготовлен скажем,1
приготовлен скажем получишь,1
ехать среду отложить,1
скажем получишь письмо,1
решился ехать среду,1
получишь письмо знать,1
письмо знать жених,1
знать жених невеста,1
жених невеста видеться,1
невеста видеться ежедневно,1
видеться ежедневно скучно,1
говорить решился ехать,1
ежедневно скучно прибавила,1
скучно прибавила томлюсь,1
прибавила томлюсь длинными,1
томлюсь длинными днями,1
длинными днями замечают,1
днями замечают ко,1
замечают ко пристают,1
ко пристают намекают,1
пристают намекают лукаво,1
смотри карета подъезжает,1
карета подъезжает знакомые,1
мысль соображений тетке,1
вуалью завтра магазина,1
завтра магазина ждал,1
магазина ждал послезавтра,1
ждал послезавтра пятницу,1
послезавтра пятницу субботу,1
пятницу субботу отвечал,1
субботу отвечал отчего,1
отвечал отчего видишь,1
отчего видишь ольга,1
видишь ольга думаю,1
ольга думаю подоспеет,1
думаю подоспеет письмо,1
подоспеет письмо пожалуй,1
счастья руку ольги,1
письмо пожалуй завтра,1
пожалуй завтра приди,1
завтра приди обеду,1
приди обеду слышишь,1
обеду слышишь торопливо,1
слышишь торопливо прибавил,1
торопливо прибавил вошла,1
прибавил вошла магазин,1
трепет счастья руку,1
тогдашний трепет счастья,1
вошла магазин ах,1
вспомнил тогдашний трепет,1
анисье вспомнил тогдашний,1
магазин ах боже,1
ах боже дошло,1
боже дошло камень,1
руку ольги страстный,1
закрывшись вуалью завтра,1
подъезжает знакомые ах,1
голову закрывшись вуалью,1
знакомые ах пот,1
ах пот бросает,1
пот бросает пойдем,1
бросает пойдем пойдем,1
пойдем пойдем боязливо,1
пойдем боязливо заразил,1
боязливо заразил страхом,1
заразил страхом пойдем,1
страхом пойдем скорее,1
пойдем скорее шепотом,1
скорее шепотом скороговоркой,1
поблекло отошло раздалось,1
шепотом скороговоркой побежали,1
обмер поблекло отошло,1
скороговоркой побежали аллее,1
побежали аллее конца,1
аллее конца сада,1
конца сада говоря,1
сада говоря слова,1
говоря слова обломов,1
слова обломов оглядываясь,1
обломов оглядываясь беспокойно,1
оглядываясь беспокойно стороны,1
беспокойно стороны склонив,1
поцелуй обмер поблекло,1
стороны склонив голову,1
страстный поцелуй обмер,1
ольги страстный поцелуй,1
склонив голову закрывшись,1
соображений тетке свадьба,1
глядя мысль соображений,1
прося поспешить ответом,1
говорю скажут свет,1
скажут свет простят,1
свет простят пойми,1
остановившись решении успокоился,1
простят пойми ради,1
пойми ради бога,1
души остановившись решении,1
ради бога хочу,1
бога хочу хочу,1
хочу хочу глазах,1
хочу глазах света,1
глазах света чиста,1
света чиста безукоризненна,1
чиста безукоризненна какова,1
безукоризненна какова деле,1
какова деле шла,1
деле шла задумавшись,1
шла задумавшись пойми,1
пропастях души остановившись,1
задумавшись пойми говорю,1
пойми говорю несчастлива,1
говорю несчастлива ляжет,1
глубоких пропастях души,1
самых глубоких пропастях,1
затаил самых глубоких,1
добудет затаил самых,1
непременно добудет затаил,1
несчастлива ляжет ответственность,1
ляжет ответственность скажут,1
сумеет непременно добудет,1
решении успокоился написал,1
ангел говорю скажут,1
ответственность скажут увлекал,1
невинный ангел говорю,1
убедительно прося поспешить,1
письмо убедительно прося,1
гордая девушка могла,1
девушка могла очертя,1
поверенному письмо убедительно,1
могла очертя голову,1
сделала воротится спросил,1
голову забыв стыд,1
забыв стыд воспитание,1
стыд воспитание увлечься,1
воспитание увлечься нарушить,1
своему поверенному письмо,1
увлечься нарушить долг,1
нарушить долг забыла,1
соседу своему поверенному,1
долг забыла стыда,1
забыла стыда воспитания,1
стыда воспитания долга,1
воспитания долга гордо,1
долга гордо ответила,1
гордо ответила отняв,1
ответила отняв руку,1
деревню соседу своему,1
отняв руку знаю,1
руку знаю знаю,1
написал деревню соседу,1
знаю знаю невинный,1
знаю невинный ангел,1
успокоился написал деревню,1
притвориться сумеет непременно,1
скажут увлекал закрывал,1
свидание воскресенья народу,1
прибавил дрожали губы,1
людей хотел тревожить,1
толках людей хотел,1
губы недели торопил,1
недели торопил спросила,1
глупых толках людей,1
удастся глупых толках,1
торопил спросила глядя,1
говорить удастся глупых,1
спросила глядя сухо,1
глядя сухо внимательно,1
сухо внимательно подумал,1
внимательно подумал приготовлениях,1
подумал приготовлениях вздохнув,1
наедине говорить удастся,1
приготовлениях вздохнув дождемся,1
вздохнув дождемся письма,1
дождемся письма деревни,1
письма деревни дожидаться,1
деревни дожидаться письма,1
дожидаться письма ответ,1
письма ответ изменить,1
ответ изменить твое,1
изменить твое намерение,1
твое намерение спросила,1
народу наедине говорить,1
намерение спросила внимательнее,1
воскресенья народу наедине,1
спросила внимательнее глядя,1
внимательнее глядя мысль,1
дрожали губы недели,1
поспешно прибавил дрожали,1
увлекал закрывал пропасть,1
торопиться поспешно прибавил,1
закрывал пропасть умыслом,1
пропасть умыслом чиста,1
мудрено притвориться сумеет,1
говорить мудрено притвориться,1
умыслом чиста покойна,1
чиста покойна уверишь,1
покойна уверишь поверит,1
уверишь поверит правда,1
поверит правда вздрогнув,1
правда вздрогнув слушай,1
вздрогнув слушай прибавила,1
неисправимым говорить мудрено,1
слушай прибавила решительно,1
прибавила решительно скажем,1
решительно скажем ma,1
скажем ma tante,1
ma tante пусть,1
злом неисправимым говорить,1
tante пусть завтра,1
тревожить злом неисправимым,1
хотел тревожить злом,1
пусть завтра благословит,1
завтра благословит обломов,1
благословит обломов побледнел,1
обломов побледнел спросила,1
побледнел спросила погоди,1
спросила погоди ольга,1
погоди ольга торопиться,1
ольга торопиться поспешно,1
воротится спросил велела,1
tante просила сходить,1
дело сделала воротится,1
вчера тоска сделалась,1
сделалась знаю отчего,1
знаю отчего написала,1
отчего написала рад,1
написала рад заглянула,1
рад заглянула лицо,1
заглянула лицо нахмуренный,1
лицо нахмуренный молчишь,1
нахмуренный молчишь рад,1
молчишь рад думала,1
рад думала ума,1
думала ума сойдешь,1
думал направляясь лени,1
ума сойдешь радости,1
нашла думал направляясь,1
сойдешь радости точно,1
радости точно спит,1
точно спит проснитесь,1
спит проснитесь сударь,1
проснитесь сударь ольга,1
сударь ольга упреком,1
ольга упреком слегка,1
упреком слегка оттолкнула,1
слегка оттолкнула нездоров,1
оттолкнула нездоров приставала,1
нездоров приставала здоров,1
приставала здоров счастлив,1
здоров счастлив поспешил,1
счастлив поспешил дело,1
поспешил дело доходило,1
тоска сделалась знаю,1
увижу вчера тоска,1
той сосредоточенной мысли,1
думала увижу вчера,1
мысли играла бровями,1
играла бровями вливалась,1
бровями вливалась складку,1
вливалась складку лбу,1
складку лбу являлась,1
лбу являлась смущавшей,1
являлась смущавшей чудной,1
смущавшей чудной зрелости,1
летнему саду вошел,1
чудной зрелости чертах,1
зрелости чертах минуты,1
чертах минуты лицо,1
минуты лицо дышало,1
лицо дышало такою,1
дышало такою детскою,1
такою детскою доверчивостью,1
детскою доверчивостью судьбе,1
доверчивостью судьбе счастью,1
судьбе счастью мила,1
лени летнему саду,1
счастью мила ах,1
мила ах рада,1
ах рада рада,1
рада рада твердила,1
рада твердила улыбаясь,1
направляясь лени летнему,1
твердила улыбаясь глядя,1
улыбаясь глядя думала,1
глядя думала увижу,1
дело доходило добыванья,1
доходило добыванья тайн,1
добыванья тайн души,1
тайн души тревожусь,1
скрыть замешательство готовился,1
другом беззаботно послушай,1
беззаботно послушай ах,1
послушай ах хотела,1
ах хотела забыла,1
хотела забыла одна,1
надеялся скрыть замешательство,1
забыла одна пришла,1
одна пришла сюда,1
пришла сюда заговорил,1
сюда заговорил оглядываясь,1
заговорил оглядываясь беспокойно,1
оглядываясь беспокойно сторонам,1
беспокойно сторонам ах,1
сторонам ах надоест,1
ах надоест хотела,1
налюбуется надеялся скрыть,1
надоест хотела равно,1
хотела равно вспомню,1
любит налюбуется надеялся,1
равно вспомню ах,1
вспомню ах листья,1
ах листья упали,1
листья упали feuilles,1
упали feuilles помнишь,1
например любит налюбуется,1
семеновной например любит,1
марьей семеновной например,1
дамой марьей семеновной,1
замешательство готовился разговорчивым,1
поговорим другом беззаботно,1
разговаривать поговорим другом,1
перебила обиженным голосом,1
души тревожусь одна,1
тревожусь одна забота,1
одна забота нетерпением,1
забота нетерпением ma,1
нетерпением ma tante,1
ma tante приехала,1
обед нашла думал,1
tante приехала ольга,1
приехала ольга знала,1
ольга знала попросила,1
самый обед нашла,1
знала попросила перебила,1
попросила перебила обиженным,1
обиженным голосом ольга,1
нечего разговаривать поговорим,1
голосом ольга выпуская,1
ольга выпуская руку,1
выпуская руку думала,1
руку думала счастья,1
думала счастья побыть,1
любезным самый обед,1
разговорчивым любезным самый,1
счастья побыть возразил,1
побыть возразил обломов,1
готовился разговорчивым любезным,1
возразил обломов одна,1
обломов одна нечего,1
одна нечего разговаривать,1
сосредоточенной мысли играла,1
лишенное той сосредоточенной,1
помнишь гюго солнце,1
делает моцион здоровья,1
здоровья дамы женщины,1
дамы женщины няньки,1
женщины няньки двумя,1
няньки двумя озябшими,1
двумя озябшими синевы,1
озябшими синевы лице,1
уйти дома однакож,1
синевы лице детьми,1
предлога уйти дома,1
лице детьми листья,1
детьми листья облетели,1
листья облетели видно,1
облетели видно насквозь,1
видно насквозь вороны,1
решится предлога уйти,1
насквозь вороны деревьях,1
вороны деревьях кричат,1
деревьях кричат неприятно,1
кричат неприятно ясно,1
неприятно ясно хорош,1
ясно хорош закутаться,1
хорош закутаться хорошенько,1
одна решится предлога,1
закутаться хорошенько тепло,1
хорошенько тепло женщина,1
ольгу одна решится,1
тепло женщина вуалью,1
принял ольгу одна,1
женщина вуалью ближе,1
моцион здоровья дамы,1
очевидно делает моцион,1
лицо лишенное той,1
дома однакож походка,1
переступают движутся наклоненная,1
легко быстро скользят,1
движутся наклоненная вперед,1
наклоненная вперед шея,1
вперед шея голова,1
шея голова точно,1
голова точно ищет,1
точно ищет глазами,1
ищет глазами ногами,1
глазами ногами шляпке,1
ногами шляпке платью,1
шляпке платью заметил,1
походка легко быстро,1
платью заметил просидев,1
заметил просидев ольгой,1
просидев ольгой целое,1
ольгой целое утро,1
целое утро каком,1
утро каком платье,1
каком платье шляпке,1
платье шляпке саду,1
шляпке саду никого,1
саду никого пожилой,1
никого пожилой господин,1
пожилой господин ходит,1
господин ходит проворно,1
ходит проворно очевидно,1
однакож походка легко,1
проворно очевидно делает,1
вуалью ближе ближе,1
ближе ближе обломов,1
никак принял ольгу,1
ближе обломов остановился,1
скучно хотела видеть,1
длинную аллею видел,1
хотела видеть пришла,1
видеть пришла крепко,1
пришла крепко пожимала,1
крепко пожимала руку,1
пожимала руку весело,1
руку весело беззаботно,1
вошел длинную аллею,1
весело беззаботно смотрела,1
беззаботно смотрела явно,1
смотрела явно открыто,1
